,click_cost,decision,matrix,mu,outcome,participant,probabilities,reveal_order,sigma
33,0.0,4,"[[6.2, 4.19, 3.44, 8.27, 6.51, 4.65, 4.01], [2.89, 4.13, 4.82, 8.89, 9.25, 0.96, 6.04], [8.8, 2.84, 4.5, 4.81, 3.19, 0.46, 7.31], [5.12, 1.87, 1.91, 7.0, 2.08, 5.06, 2.86]]",5.0,7.0,2,"[0.15, 0.21, 0.3, 0.34]","[[0, 2, 4, 5, 16, 17, 24, 25], [0, 1, 3, 6, 15, 18, 23, 26], [0, 9, 8, 7, 14, 19, 22, 28], [0, 10, 11, 12, 13, 20, 21, 27]]",2.994
34,0.0,6,"[[3.4, 2.14, 9.33, 2.59, 4.55, 1.09, 2.85], [2.69, 7.17, 4.91, 8.03, 6.07, 6.49, 2.28], [2.24, 5.15, 4.83, 2.39, 2.78, 7.43, 5.61], [3.01, 5.69, 6.66, 3.22, 3.6, 8.48, 3.28]]",5.0,7.43,2,"[0.07, 0.01, 0.9, 0.02]","[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5, 6, 7], [0, 0, 0, 0, 0, 0, 0, 0]]",2.994
35,0.0,7,"[[7.29, 4.26, 4.93, 3.96, 3.34, 8.54, 6.49], [0.79, 3.44, 2.71, 8.71, 2.86, 7.09, 3.94], [9.61, 8.74, 7.3, 3.82, 1.83, 1.17, 5.37], [2.04, 1.98, 8.39, 1.63, 1.8, 1.97, 7.71]]",5.0,5.37,2,"[0.21, 0.28, 0.29, 0.22]","[[0, 4, 5, 12, 13, 20, 21, 25], [0, 1, 7, 11, 14, 19, 24, 26], [0, 2, 6, 10, 15, 18, 22, 27], [0, 3, 8, 9, 16, 17, 23, 28]]",2.994
36,0.0,3,"[[3.25, 0.97, 8.64, 8.18, 2.13, 6.22, 0.77], [5.88, 7.57, 5.25, 3.43, 6.13, 3.52, 3.61], [5.54, 4.65, 8.68, 9.8, 7.31, 3.42, 4.37], [7.14, 2.83, 7.59, 3.91, 6.6, 1.41, 1.96]]",5.0,7.59,2,"[0.06, 0.03, 0.01, 0.9]","[[0, 13, 0, 10, 0, 0, 0, 0], [0, 12, 0, 9, 0, 0, 0, 0], [0, 11, 0, 8, 0, 0, 0, 0], [0, 1, 2, 3, 4, 5, 6, 7]]",2.994
37,0.0,7,"[[3.55, 2.94, 0.08, 3.13, 2.15, 9.59, 4.77], [4.35, 5.83, 1.82, 2.79, 3.6, 4.35, 6.66], [4.91, 4.62, 9.06, 2.02, 4.04, 2.21, 7.62], [0.78, 5.9, 1.77, 4.45, 7.63, 4.39, 2.86]]",5.0,7.62,2,"[0.34, 0.11, 0.27, 0.28]","[[0, 4, 5, 14, 12, 20, 21, 28], [0, 3, 6, 11, 13, 19, 22, 27], [0, 2, 7, 10, 15, 18, 23, 26], [0, 1, 8, 9, 16, 17, 24, 25]]",2.994
38,0.0,4,"[[2.54, 7.44, 2.24, 4.32, 2.76, 9.01, 8.48], [1.82, 8.34, 6.23, 3.89, 6.94, 3.11, 6.18], [7.6, 3.71, 5.31, 9.83, 1.09, 3.87, 7.81], [7.76, 7.0, 2.77, 7.48, 3.83, 0.31, 3.13]]",5.0,7.48,2,"[0.04, 0.07, 0.03, 0.86]","[[0, 10, 16, 0, 13, 0, 0, 0], [0, 9, 15, 0, 12, 0, 0, 0], [0, 8, 14, 0, 11, 0, 0, 0], [0, 1, 2, 3, 4, 5, 6, 7]]",2.994
39,0.0,1,"[[7.78, 7.83, 6.34, 3.49, 9.25, 4.1, 8.16], [4.02, 5.78, 4.37, 3.5, 3.65, 5.34, 1.1], [4.29, 1.52, 3.77, 7.63, 3.05, 0.82, 4.95], [8.46, 6.15, 6.73, 3.18, 8.15, 6.29, 5.32]]",5.0,4.29,2,"[0.2, 0.29, 0.22, 0.29]","[[0, 1, 7, 12, 13, 20, 21, 28], [0, 2, 6, 11, 14, 19, 22, 27], [0, 3, 5, 10, 15, 18, 23, 26], [0, 4, 8, 9, 16, 17, 24, 25]]",2.994
40,0.0,2,"[[5.92, 9.68, 5.15, 2.59, 5.89, 7.38, 2.85], [1.22, 5.64, 6.3, 3.82, 9.13, 6.51, 3.36], [6.72, 1.0, 8.86, 8.25, 8.82, 6.13, 4.12], [7.5, 7.75, 5.39, 3.9, 7.48, 3.23, 1.98]]",5.0,5.64,3,"[0.3, 0.17, 0.24, 0.29]","[[0, 1, 5, 12, 13, 17, 24, 25], [0, 2, 6, 11, 16, 18, 23, 27], [0, 3, 7, 10, 14, 19, 22, 26], [0, 4, 8, 9, 15, 20, 21, 28]]",2.994
41,0.0,4,"[[5.16, 3.84, 2.97, 6.89, 7.92, 3.02, 6.81], [6.93, 3.64, 5.33, 8.47, 3.82, 8.88, 7.83], [4.51, 5.38, 9.21, 3.79, 4.77, 9.29, 4.59], [3.55, 8.48, 4.66, 2.28, 3.95, 2.95, 5.67]]",5.0,6.89,3,"[0.86, 0.08, 0.05, 0.01]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 14, 13, 12, 11, 10, 9, 8], [0, 0, 0, 0, 15, 17, 0, 0], [0, 0, 0, 0, 16, 18, 0, 0]]",2.994
42,0.0,1,"[[2.44, 7.36, 6.46, 5.15, 7.43, 1.32, 0.71], [3.96, 8.36, 4.6, 6.91, 2.69, 5.0, 1.64], [8.24, 5.23, 2.67, 1.92, 6.03, 2.88, 7.54], [1.43, 5.93, 6.77, 1.1, 3.47, 5.78, 6.1]]",5.0,8.24,3,"[0.02, 0.06, 0.89, 0.03]","[[0, 9, 0, 0, 0, 16, 0, 12], [0, 8, 0, 0, 0, 11, 0, 13], [0, 1, 2, 3, 4, 5, 6, 7], [0, 10, 0, 0, 0, 15, 0, 14]]",2.994
